Response ID;Date submitted;Last page;Start language;Seed;In which field are you active?;How many years of experience do you have in your field?;How old are you?;What was your favorite option?;Do you have any other comments or hints?;vis_type;complicated_easy;untraceable_traceable;undemonstrative_expressive;confusing_clear;biasing_neutral;doubtful_trustworthy;insignificant_meaningful;conventional_inventive;usual_leadingedge;boring_exciting;obscure_comprehensible;notinteresting_interesting;obstructive_supportive;inefficient_efficient;inappropriate_sound;Expertise
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Segmentation Mask;7;;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Heatmap;7;;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Segmentation Contour;7;;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Bounding Box;7;;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Segmentation Mask;;4;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Heatmap;;4;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Segmentation Contour;;4;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Bounding Box;;4;;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Segmentation Mask;;;7;;;;;;;;;;;;;Pathology
23;1980-01-01 00:00:00;5;en;556235906;2;1;2;2;"I find the heatmap more ""fun"" than the others and it also highlights that the areas around the red surface may also have relevant information. The other options kind of convey the idea that the rest is completely irrelevant. The rectangle is less precise. The overlay and the heatmap, though see-through, are kind of obstructive in the ""blending"" of the background color. ";Heatmap;;;7;;;;;;;;;;;;;Pathology
